date, away, home, away_score, home_score, home_sp, away_sp ,net_score,home_sp_stat,away_sp_stat,win
20230330,MIL,CHN,0,4,Marcus Stroman,Corbin Burnes,4,3.94,3.05,1
20230330,PIT,CIN,5,4,Hunter Greene,Mitch Keller,-1,4,4.23,0
20230330,ARI,LAN,2,8,Julio Urias,Zac Gallen,6,2.81,3.17,1
20230330,NYN,MIA,5,3,Sandy Alcantara,Max Scherzer,-2,2.9,2.87,0
20230330,COL,SDN,7,2,Blake Snell,German Marquez,-5,3.19,4.49,0
20230330,TOR,SLN,10,9,Miles Mikolas,Alek Manoah,-1,3.89,3.31,0
20230330,ATL,WAS,7,2,Patrick Corbin,Max Fried,-5,6.41,2.85,0
20230330,BAL,BOS,10,9,Corey Kluber,Kyle Gibson,-1,4,4.46,0
20230330,CHA,HOU,3,2,Framber Valdez,Dylan Cease,-1,3.31,2.7,0
20230330,MIN,KCA,2,0,Zack Greinke,Pablo Lopez,-2,4.78,3.75,0
20230330,SFN,NYA,0,5,Gerrit Cole,Logan Webb,5,3.31,3.59,1
20230330,ANA,OAK,1,2,Kyle Muller,Shohei Ohtani,1,5.49,2.68,1
20230330,CLE,SEA,0,3,Luis Castillo,Shane Bieber,3,3.31,3.51,1
20230330,DET,TBA,0,4,Shane McClanahan,Eduardo Rodriguez,4,2.79,4.2,1
20230330,PHI,TEX,7,11,Jacob deGrom,Aaron Nola,4,2.24,2.74,1
20230331,ARI,LAN,2,1,Dustin May,Merrill Kelly,-1,3.67,3.62,0
20230331,NYN,MIA,1,2,Jesus Luzardo,David Peterson,1,3.39,3.94,1
20230331,COL,SDN,4,1,Nick Martinez,Kyle Freeland,-3,3.83,5.14,0
20230331,CHA,HOU,3,6,Cristian Javier,Lance Lynn,3,2.43,3.62,1
20230331,CLE,SEA,9,4,Robbie Ray,Hunter Gaddis,-5,3.59,12.2,0
20230401,MIL,CHN,3,1,Justin Steele,Brandon Woodruff,-2,3.59,3.15,0
20230401,PIT,CIN,2,6,Nick Lodolo,Rich Hill,4,3.94,4.08,1
20230401,ARI,LAN,1,10,Clayton Kershaw,Madison Bumgarner,9,2.51,5.53,1
20230401,NYN,MIA,6,2,Edward Cabrera,Tylor Megill,-4,4.05,4.31,0
20230401,COL,SDN,4,8,Michael Wacha,Jose Urena,4,4.56,4.94,1
20230401,TOR,SLN,1,4,Jack Flaherty,Kevin Gausman,3,4.94,3.34,1
20230401,ATL,WAS,7,1,Josiah Gray,Spencer Strider,-6,4.25,2.39,0
20230401,BAL,BOS,8,9,Chris Sale,Dean Kremer,1,4.08,4.49,1
20230401,CHA,HOU,4,6,Jose Urquidy,Lucas Giolito,2,4.56,4.23,1
20230401,MIN,KCA,2,0,Jordan Lyles,Sonny Gray,-2,4.94,3.67,0
20230401,SFN,NYA,7,5,Clarke Schmidt,Alex Cobb,-2,3.51,3.15,0
20230401,ANA,OAK,13,1,Shintaro Fujinami,Patrick Sandoval,-12,,3.91,0
20230401,CLE,SEA,2,0,Logan Gilbert,Aaron Civale,-2,4.11,3.8,0
